ItemID,BatchNumber,GenericName,MaxInventory,CurrentStock,ReorderPoint,Unit,StorageCondition,SpecialHandling,UnitCost,SellingPrice,ManufacturingDate,ExpiryDate,LeadTimeDays,Status,LastUpdated
ITEM-CCEE944C,P2410-2692,Paracetamol,1000000,951453,93150.68493150684,g,Room Temperature,,63.53,78.69,2024-10-18,2026-12-14,27,Active,2025-02-11 22:24:02
ITEM-32C437D9,I2410-7657,Ibuprofen,800000,770922,61369.86301369863,g,Room Temperature,,46.62,82.27,2024-10-23,2027-10-14,21,Active,2025-02-11 22:24:02
ITEM-00DBC34C,A2408-6011,Aspirin,750000,194347,98630.13698630137,g,Room Temperature,,87.73,137.51,2024-08-21,2026-02-02,41,Active,2025-02-11 22:24:02
ITEM-CC350352,A2409-4578,Atorvastatin,250000,16052,15753.424657534246,g,Room Temperature,,64.53,148.8,2024-09-10,2027-02-23,16,Active,2025-02-11 22:24:02
ITEM-2AB2ABEF,L2412-6204,Lisinopril,300000,133725,28767.12328767123,g,Room Temperature,,95.87,53.8,2024-12-28,2026-02-10,28,Active,2025-02-11 22:24:02
ITEM-5E3F6D68,M2410-3135,Metformin,900000,357566,76438.35616438356,g,Room Temperature,,67.7,106.9,2024-10-03,2027-01-17,24,Active,2025-02-11 22:24:02
ITEM-02A72706,A2410-6742,Amoxicillin,500000,481838,39726.02739726027,g,Room Temperature,,20.92,42.41,2024-10-29,2025-11-03,22,Active,2025-02-11 22:24:02
ITEM-8F86EF91,C2412-9573,Ciprofloxacin,400000,63189,36164.38356164384,g,Room Temperature,,56.36,26.45,2024-12-27,2026-12-01,26,Active,2025-02-11 22:24:02
ITEM-3AABDB93,S2412-2755,Sildenafil,200000,87637,26849.315068493153,g,Room Temperature,,30.58,36.1,2024-12-12,2025-12-25,42,Active,2025-02-11 22:24:02
ITEM-1113DD0E,A2501-4364,Albuterol,150000,37079,8630.136986301368,g,Room Temperature,,34.2,34.73,2025-01-04,2027-07-04,14,Active,2025-02-11 22:24:02
ITEM-B2378A41,I2411-4584,Insulin,100000,51767,8493.150684931508,IU,Refrigerated,Temperature Sensitive,42.68,126.0,2024-11-25,2027-10-06,24,Active,2025-02-11 22:24:02
ITEM-B14B42DE,A2501-4213,Adalimumab,50000,4569,3972.6027397260273,mg,Room Temperature,,79.49,137.59,2025-01-07,2027-04-02,22,Active,2025-02-11 22:24:02
ITEM-262D39D9,R2409-7859,Rituximab,75000,41600,6780.821917808218,mg,Room Temperature,,20.79,22.74,2024-09-18,2025-10-28,26,Active,2025-02-11 22:24:02
ITEM-16BA9109,E2410-2415,Erythropoietin,40000,17211,5589.041095890411,IU,Refrigerated,Temperature Sensitive,64.81,16.32,2024-10-02,2027-07-02,44,Active,2025-02-11 22:24:02
ITEM-8AFEBE46,GH2410-6259,Growth Hormone,30000,13941,2794.520547945205,IU,Refrigerated,Temperature Sensitive,94.15,24.04,2024-10-26,2025-10-26,27,Active,2025-02-11 22:24:02
ITEM-5AEDFB62,FV2410-4305,Flu Vaccine,200000,134306,23013.698630136983,doses,Refrigerated,Temperature Sensitive,35.21,36.73,2024-10-07,2026-12-23,35,Active,2025-02-11 22:24:02
ITEM-3A00619E,H2412-3086,Hydrocortisone,30000,3252,3616.4383561643835,mg,Room Temperature,,23.74,144.4,2024-12-01,2026-06-10,37,Reorder Required,2025-02-11 22:24:02
ITEM-A184D581,AI2409-4941,Alpha Interferon,25000,3403,2054.7945205479455,mcg,Room Temperature,,33.23,100.01,2024-09-10,2026-02-23,23,Active,2025-02-11 22:24:02
ITEM-7B5DECC3,BI2501-1285,Beta Interferon,25000,7068,2876.712328767123,mcg,Room Temperature,,51.34,74.62,2025-01-11,2026-06-01,35,Active,2025-02-11 22:24:02
